rating1,rating2,rating3,rating4,rating5,month,year
0,0,0,1,0,11,2021
1,0,1,5,0,12,2021
4,4,2,2,2,1,2022
3,1,4,4,0,2,2022
3,3,0,1,4,3,2022
2,2,5,4,4,4,2022
0,4,4,1,1,5,2022
4,5,4,3,0,6,2022
1,4,2,0,1,7,2022
3,2,1,5,4,8,2022
1,1,1,5,5,9,2022
1,2,2,4,4,10,2022
3,1,1,5,2,11,2022
0,5,3,0,0,12,2022
1,5,1,3,2,1,2023
4,2,4,1,5,2,2023
4,2,2,5,1,3,2023
3,3,1,1,4,4,2023
0,4,3,1,4,5,2023
0,0,3,1,5,6,2023
5,3,4,3,1,7,2023
1,5,4,5,5,8,2023
4,4,1,2,3,9,2023
3,4,5,1,4,10,2023
3,4,3,5,3,11,2023
1,3,3,0,4,12,2023
