ID,Name,Type,Creation date,employee number,wilaya,city,district
1801053361,Kasbah,franchised,2016-2-20,161,Adrar,Aoulef,Timekten
2146383314,Kuisine,franchised,2007-9-1,141,Adrar,Adrar,Bouda
1437699811,Algiers,franchised,2001-10-15,101,Adrar,Adrar,Ouled Ahmed Timmi
1748339982,Alcove,owned,2007-4-18,65,Adrar,Adrar,Adrar
1840131133,Mzab,franchised,2001-5-19,44,Adrar,Fenoughil,Fenoughil
1472051706,Munchery,owned,2015-8-21,72,Adrar,Zaouiat Kounta,In Zghmir
1914316579,Bejaia,owned,2011-12-10,197,Adrar,Reggane,Reggane
1587488066,Boulangerie,franchised,2005-7-6,184,Adrar,Reggane,Sali
1258323808,Kabylie,franchised,2001-3-3,155,Adrar,Tsabit,Sebaa
1737441104,Korner,franchised,2007-10-8,102,Adrar,Tsabit,Tsabit
1905399880,Oran,owned,2006-6-19,67,Adrar,Fenoughil,Tamest
1215706143,Oasis,franchised,2008-12-22,192,Adrar,Fenoughil,Tamantit
1421720204,Tassili,franchised,2019-2-20,118,Adrar,Aoulef,Tit
1842618313,Terrace,franchised,2005-12-25,185,Adrar,Zaouiat Kounta,Zaouiet Kounta
1992926648,Constantine,franchised,2018-4-9,161,Adrar,Aoulef,Akabli
1094152764,Cafeteria,franchised,2004-5-10,56,Adrar,Aoulef,Aoulef
1403985418,Ghardaia,franchised,2012-4-23,185,Chlef,Abou El Hassane,Talassa
1083496934,Grains,owned,2010-7-26,198,Chlef,Zeboudja,Zeboudja
1031583318,Adrar,owned,2000-2-22,160,Chlef,Ouled Ben Abdelkader,El Hadjadj
1872045659,Ambiance,franchised,2011-5-28,80,Chlef,Ouled Ben Abdelkader,Ouled Ben Abdelkader
2090241222,Taghit,franchised,2005-1-15,112,Chlef,Ain Merane,Ain Merane
1597389956,Tastes,owned,2010-11-1,116,Chlef,Beni Haoua,Breira
1480549349,Algiers,owned,2013-7-18,205,Chlef,Oued Fodda,Ouled Abbes
1656348357,Array,franchised,2013-8-9,90,Chlef,Oued Fodda,Oued Fodda
1100183848,El,franchised,2010-8-5,112,Chlef,Oued Fodda,Beni Rached
1918680316,Djazair,owned,2004-8-26,56,Chlef,Ain Merane,Herenfa
1804165853,Delicacies,franchised,2019-4-3,219,Chlef,Abou El Hassane,Tadjena
1950844253,Timimoun,franchised,2005-12-18,44,Chlef,El Marsa,El Marsa
1101016290,Tavern,franchised,2005-2-21,149,Chlef,Chlef,Chlef
1973092106,Kabylie,franchised,2010-2-22,210,Chlef,Chlef,Oum Drou
1154132342,Kettle,franchised,2011-7-4,125,Chlef,Chlef,Sendjas
1902069651,Annaba,owned,2013-3-12,151,Chlef,Tenes,Sidi Abderrahmane
1971991772,Artistry,franchised,2010-6-21,52,Chlef,Tenes,Sidi Akkacha
1591832153,Maghreb,owned,2007-2-14,59,Chlef,Tenes,Tenes
1502925986,Mingle,franchised,2011-12-11,184,Chlef,El Karimia,Beni  Bouattab
1664639257,M'Zab,owned,2014-10-7,36,Chlef,El Karimia,El Karimia
1063883860,Mosaics,franchised,2018-4-6,116,Chlef,El Karimia,Harchoun
1269758917,Tamanrasset,owned,2018-8-21,38,Chlef,Zeboudja,Bouzeghaia
1252127323,Treats,franchised,2000-7-14,219,Chlef,Taougrit,Taougrit
1174724020,Tassili,owned,2012-10-6,64,Chlef,Beni Haoua,Beni Haoua
2007200021,Tavern,owned,2007-12-2,216,Chlef,Abou El Hassane,Abou El Hassane
1010043555,Casbah,franchised,2012-11-8,69,Chlef,Beni Haoua,Oued Goussine
1390430163,Charisma,owned,2005-8-8,25,Chlef,Ouled Fares,Chettia
1281436577,Ghardaia,franchised,2007-11-22,184,Chlef,El Marsa,Moussadek
1852661868,Griddle,owned,2014-10-23,86,Chlef,Ouled Fares,Ouled Fares
1235873163,Ahaggar,franchised,2018-4-18,33,Chlef,Boukadir,Boukadir
1375589342,Array,owned,2011-7-7,21,Chlef,Boukadir,Oued Sly
1109163639,Setif,franchised,2013-9-27,54,Chlef,Boukadir,Sobha
1319370097,Spicery,owned,2001-10-13,193,Chlef,Zeboudja,Benairia
1407172660,Mzab,franchised,2001-8-1,155,Chlef,Ouled Fares,Labiod Medjadja
1981209298,Morsels,franchised,2016-10-2,199,Chlef,Taougrit,Dahra
1262127671,Constantine,owned,2019-5-14,159,Laghouat,Gueltat Sidi Saad,El Beidha
1857078968,Corner,franchised,2016-2-24,158,Laghouat,Gueltat Sidi Saad,Gueltat Sidi Saad
1314274999,Bechar,owned,2011-9-20,48,Laghouat,Brida,Brida
1918476029,Bistro,owned,2000-1-22,42,Laghouat,Gueltat Sidi Saad,Ain Sidi Ali
1957262816,Kabylie,owned,2009-3-12,64,Laghouat,Ain Madhi,Tadjemout
1232955316,Kiosk,owned,2015-2-13,180,Laghouat,Brida,Hadj Mechri
1575158234,Algiers,owned,2009-7-28,155,Laghouat,Brida,Taouiala
1760623421,Aromatique,franchised,2019-7-11,210,Laghouat,El Ghicha,El Ghicha
1333971606,Oasis,franchised,2005-10-6,28,Laghouat,Ain Madhi,Tadjrouna
1400766692,Odyssey,owned,2014-10-1,24,Laghouat,Aflou,Sebgag
1914755764,Tindouf,franchised,2010-4-25,37,Laghouat,Aflou,Sidi Bouzid
1088557610,Terrace,franchised,2012-10-5,51,Laghouat,Oued Morra,Oued Morra
1225274817,Tebessa,owned,2008-12-25,181,Laghouat,Laghouat,Laghouat
1506587917,Tableau,owned,2008-1-10,192,Laghouat,Oued Morra,Oued M'zi
1443999948,Tassili,owned,2008-3-18,151,Laghouat,Ksar El Hirane,Ksar El Hirane
1889914074,Tasteful,owned,2016-12-27,60,Laghouat,Sidi Makhlouf,El Assafia
1422988129,Tiaret,franchised,2010-2-16,97,Laghouat,Sidi Makhlouf,Sidi Makhlouf
1713758865,Temptations,owned,2012-10-14,25,Laghouat,Hassi R'mel,Hassi Delaa
2142041398,Maghreb,franchised,2016-6-23,166,Laghouat,Hassi R'mel,Hassi R'mel
1597712149,Medley,franchised,2011-8-15,190,Laghouat,Ain Madhi,Ain Madhi
1573475238,Saharan,owned,2002-9-18,149,Laghouat,Ain Madhi,El Haouaita
1004601305,Savorings,franchised,2014-4-17,176,Laghouat,Ain Madhi,Kheneg
1988142312,Annaba,owned,2009-1-14,39,Laghouat,Ksar El Hirane,Benacer Benchohra
1854911816,Array,franchised,2007-5-28,171,Laghouat,Aflou,Aflou
1857263174,El,franchised,2018-6-21,52,Oum El Bouaghi,F'kirina,Fkirina
1224015476,Oued,franchised,2007-3-6,52,Oum El Bouaghi,Ain Fekroun,El Fedjoudj Boughrara Sa
1083017510,Epicure,owned,2008-7-28,173,Oum El Bouaghi,Ain Fekroun,Ain Fekroun
1818943165,Timimoun,franchised,2003-6-20,201,Oum El Bouaghi,Meskiana,Rahia
1543385573,Tableau,owned,2014-7-20,92,Oum El Bouaghi,Meskiana,Meskiana
1490190170,Kabylie,franchised,2013-4-24,134,Oum El Bouaghi,Meskiana,El Belala
1652668815,Kettle,franchised,2008-11-27,213,Oum El Bouaghi,Meskiana,Behir Chergui
1805513245,Tlemcen,owned,2004-7-1,183,Oum El Bouaghi,Ksar Sbahi,Ksar Sbahi
1199785490,Tasty,franchised,2013-11-6,189,Oum El Bouaghi,Souk Naamane,Souk Naamane
1966943814,Oasis,franchised,2000-10-1,163,Oum El Bouaghi,Souk Naamane,Ouled Zouai
1576505626,Olio,owned,2009-7-11,104,Oum El Bouaghi,Oum El Bouaghi,Oum El Bouaghi
1157048306,Algiers,owned,2014-5-3,44,Oum El Bouaghi,Ain Babouche,Ain Babouche
1052415482,Artisan,owned,2017-11-14,209,Oum El Bouaghi,Oum El Bouaghi,Ain Zitoun
1151663860,Kasbah,franchised,2006-2-28,124,Oum El Bouaghi,Souk Naamane,Bir Chouhada
1917671727,Kaleidoscope,owned,2014-10-10,170,Oum El Bouaghi,Ain Beida,Ain Beida
1386387089,Tassili,owned,2011-11-2,54,Oum El Bouaghi,Ain Beida,Berriche
1552430553,Tablescape,owned,2000-5-19,43,Oum El Bouaghi,Ain Beida,Zorg
1684943843,Oran,franchised,2013-2-20,129,Oum El Bouaghi,Ain M'lila,Ain M'lila
1327461051,Oregano,franchised,2016-7-24,88,Oum El Bouaghi,Ain M'lila,Ouled Gacem
1777705370,Tebessa,franchised,2001-9-8,97,Oum El Bouaghi,Ain M'lila,Ouled Hamla
1044048113,Temptation,owned,2009-3-14,128,Oum El Bouaghi,Sigus,El Amiria
1771460999,Bejaia,owned,2003-2-28,147,Oum El Bouaghi,Sigus,Sigus
1520135796,Banquet,franchised,2012-10-10,61,Oum El Bouaghi,F'kirina,Oued Nini
1467036242,Setif,owned,2017-9-2,158,Oum El Bouaghi,Ain Babouche,Ain Diss
1485219864,Supper,franchised,2015-6-28,43,Oum El Bouaghi,Dhalaa,Dhalaa
1514693546,Kabylie,owned,2018-3-24,212,Oum El Bouaghi,Dhalaa,El Djazia
1064748392,Kinara,owned,2014-10-27,55,Oum El Bouaghi,Ain Kercha,Ain Kercha
2058695102,Constantine,franchised,2015-3-20,214,Oum El Bouaghi,Ain Kercha,El Harmilia
1519294852,Courtyard,franchised,2018-8-7,86,Oum El Bouaghi,Ain Kercha,Hanchir Toumghani
2052890704,Ghardaia,owned,2013-8-11,80,Batna,Ain Touta,Maafa
1766123270,Grains,franchised,2011-12-11,174,Batna,Ras El Aioun,Gosbat
1229074378,Mzab,owned,2016-10-26,111,Batna,Timgad,Timgad
1129422532,Mingle,franchised,2002-10-9,23,Batna,Ouled Si Slimane,Taxlent
1849140780,Timimoun,owned,2002-7-21,83,Batna,Ouled Si Slimane,Ouled Si Slimane
1048017543,Tasting,owned,2015-6-13,62,Batna,Ouled Si Slimane,Lemcene
1525324458,Annaba,owned,2015-6-4,184,Batna,Ras El Aioun,Talkhamt
1191847302,Ambrosia,franchised,2016-4-22,28,Batna,Ras El Aioun,Ras El Aioun
1700686358,Maghreb,franchised,2006-2-15,134,Batna,Ras El Aioun,Rahbat
1183354055,Mosaic,owned,2017-12-12,37,Batna,Ras El Aioun,Ouled Sellem
1391632792,Tamanrasset,owned,2004-6-22,131,Batna,Ras El Aioun,Guigba
1520146524,Tidbits,owned,2006-8-17,79,Batna,Theniet El Abed,Teniet El Abed
1759859681,El,owned,2015-7-15,177,Batna,Batna,Batna
1548681098,Djazair,franchised,2010-7-13,180,Batna,Batna,Fesdis
1572562007,Dining,owned,2003-3-28,77,Batna,Batna,Oued Chaaba
1911523541,Sahara,owned,2019-1-4,80,Batna,Merouana,Hidoussa
1318869178,Soiree,franchised,2007-2-14,85,Batna,Merouana,Ksar Bellezma
1958949096,Kabylie,franchised,2008-6-24,73,Batna,Merouana,Merouana
1316470446,Kulinari,owned,2003-8-27,33,Batna,Merouana,Oued El Ma
2003813021,Casbah,franchised,2019-10-23,72,Batna,Seriana,Lazrou
1138926499,Flavors,franchised,2019-4-11,129,Batna,Seriana,Seriana
1946692168,Algiers,owned,2016-6-1,147,Batna,Seriana,Zanet El Beida
2047861134,Spice,franchised,2007-10-10,64,Batna,Menaa,Menaa
1910387498,House,owned,2004-5-25,180,Batna,Menaa,Tigharghar
1466827965,Sahara,franchised,2013-12-5,67,Batna,El Madher,Ain Yagout
1367413729,Sizzle,owned,2002-2-7,169,Batna,El Madher,Boumia
1248123714,Kabylie,franchised,2016-8-20,183,Batna,El Madher,Djerma
1981521511,Kitchen,franchised,2018-12-9,116,Batna,El Madher,El Madher
1432162121,Oasis,owned,2007-11-28,214,Batna,Tazoult,Ouyoun El Assafir
1159335168,Bites,owned,2002-11-11,198,Batna,Tazoult,Tazoult
1353332715,Maghreb,franchised,2018-7-17,33,Batna,N'gaous,Boumagueur
1337569177,Delights,owned,2011-8-27,56,Batna,N'gaous,N Gaous
1925458439,Tassili,owned,2016-9-14,113,Batna,N'gaous,Sefiane
1582407093,Taste,franchised,2006-7-26,219,Batna,Arris,Arris
1319508062,Berber,owned,2016-7-1,24,Batna,Arris,Tighanimine
1774599219,Feast,franchised,2007-11-4,41,Batna,Ain Djasser,Ain Djasser
1630424636,Constantine,owned,2018-6-23,196,Batna,Ain Djasser,El Hassi
1844832520,Cuisine,owned,2005-8-21,76,Batna,Seggana,Seggana
1966446522,Atlas,franchised,2019-6-11,214,Batna,Seggana,Tilatou
1183627346,Aromas,owned,2012-8-19,20,Batna,Ichemoul,Foum Toub
1028186575,Chergui,owned,2012-10-4,203,Batna,Ichemoul,Ichemoul
1210595666,Grill,franchised,2019-3-22,205,Batna,Ichemoul,Inoughissen
1703773871,Saharan,owned,2017-8-4,45,Batna,Bouzina,Bouzina
1788046256,Spice,owned,2003-3-5,189,Batna,Bouzina,Larbaa
1759276765,Route,owned,2019-4-11,190,Batna,Chemora,Boulhilat
1128852230,Oran,franchised,2000-5-18,58,Batna,Chemora,Chemora
1552086149,Fusion,franchised,2014-2-23,31,Batna,Barika,Barika
1930662295,Souk,owned,2003-1-24,86,Batna,Barika,Bitam
2087801326,Savors,franchised,2017-10-8,96,Batna,Barika,M Doukal
1721072948,Tlemcen,owned,2000-9-2,212,Batna,Djezzar,Azil Abedelkader
1786991668,Tastes,owned,2009-11-11,105,Batna,Djezzar,Djezzar
1079244177,Oasis,owned,2001-8-20,135,Batna,Djezzar,Ouled Ammar
1667765116,Ovens,franchised,2018-7-11,104,Batna,Tkout,Ghassira
1687369155,Kabyle,franchised,2013-12-27,121,Batna,Tkout,Kimmel
1989631675,Kitchen,franchised,2014-1-16,36,Batna,Tkout,T Kout
1987109433,Desert,franchised,2001-10-9,177,Batna,Ain Touta,Ain Touta
1054782884,Bloom,franchised,2011-4-20,165,Batna,Ain Touta,Beni Foudhala El Hakania
1237755389,Grill,franchised,2012-5-13,169,Batna,Timgad,Ouled Fadel
1821147297,Mediterranean,franchised,2013-8-22,203,Batna,Ain Touta,Ouled Aouf
1339461357,Morsels,franchised,2010-6-19,104,Batna,Theniet El Abed,Chir
1397090557,El,franchised,2019-12-28,65,Batna,Theniet El Abed,Oued Taga
1174480012,Djazair,franchised,2004-10-13,74,Béjaïa,Sidi Aich,Sidi Ayad
1677030534,Dining,owned,2014-2-18,84,Béjaïa,Barbacha,Barbacha
1175065348,Algiers,owned,2006-9-12,27,Béjaïa,Sidi Aich,Leflaye
1756887106,Eatscape,franchised,2004-9-23,39,Béjaïa,Barbacha,Kendira
1996538596,Chaoui,franchised,2012-11-24,21,Béjaïa,Sidi Aich,Sidi-Aich
1949664568,Charm,owned,2009-9-4,39,Béjaïa,Sidi Aich,Tifra
1239828094,Maghrebi,franchised,2011-8-13,172,Béjaïa,Sidi Aich,Tinebdar
1693887468,Munch,franchised,2015-6-2,95,Béjaïa,El Kseur,El Kseur
1768627442,Tindouf,franchised,2002-7-22,188,Béjaïa,El Kseur,Fenaia Il Maten
1275971793,Treats,franchised,2013-3-28,200,Béjaïa,El Kseur,Toudja
1722074043,Caspian,franchised,2015-4-21,149,Béjaïa,Kherrata,Dra El Caid
1979223108,Caravan,franchised,2017-9-22,50,Béjaïa,Kherrata,Kherrata
1979745664,Kabylie,franchised,2003-7-12,122,Béjaïa,Bejaia,Bejaia
1362636651,Kitchen,owned,2007-12-9,43,Béjaïa,Bejaia,Oued Ghir
1591016225,Tassili,franchised,2013-2-26,63,Béjaïa,Beni Maouche,Benimaouche
2108597894,Tantalizers,franchised,2011-7-20,188,Béjaïa,Amizour,Beni Djellil
1767239153,Bejaia,owned,2014-2-25,152,Béjaïa,Amizour,Feraoun
1374194872,Bistro,owned,2014-2-28,148,Béjaïa,Amizour,Smaoun
2048915572,Timimoun,owned,2014-8-23,117,Béjaïa,Timezrit,Timezrit
1488312101,Table,franchised,2005-10-6,168,Béjaïa,Souk El Tenine,Melbou
1161186541,Oasis,franchised,2010-2-9,81,Béjaïa,Souk El Tenine,Souk El Tenine
2128159749,Ovation,owned,2011-9-8,206,Béjaïa,Souk El Tenine,Tamridjet
1008593569,Adrar,franchised,2010-3-14,79,Béjaïa,Tichy,Boukhelifa
1848555696,Aromatics,owned,2012-11-13,78,Béjaïa,Tichy,Tala Hamza
1970307776,Ahaggar,franchised,2010-1-9,194,Béjaïa,Tichy,Tichy
1995703003,Appetite,franchised,2011-12-13,149,Béjaïa,Ighil Ali,Ait R'zine
1755854932,Tassili,owned,2001-6-1,146,Béjaïa,Ighil Ali,Ighil-Ali
1060579517,Tastes,owned,2015-10-23,205,Béjaïa,Darguina,Ait-Smail
1669366652,Kabylie,franchised,2001-7-5,42,Béjaïa,Darguina,Darguina
1095316289,Kitchenette,owned,2000-3-1,132,Béjaïa,Darguina,Taskriout
1457670074,Ghardaia,owned,2001-5-8,54,Béjaïa,Aokas,Aokas
1843846664,Gastronomy,owned,2002-11-19,89,Béjaïa,Aokas,Tizi-N'berber
1624863175,El,franchised,2016-2-3,67,Béjaïa,Adekar,Adekar
1632735423,Oued,franchised,2004-6-27,21,Béjaïa,Adekar,Beni K'sila
1453250122,Oasis,owned,2009-6-12,29,Béjaïa,Adekar,Taourit Ighil
1473918124,Tiaret,franchised,2005-6-16,203,Béjaïa,Akbou,Akbou
1434916343,Tastings,franchised,2017-8-3,107,Béjaïa,Akbou,Chellata
1545594569,Tamanrasset,franchised,2011-2-24,29,Béjaïa,Akbou,Ighram
1167805592,Tableau,franchised,2000-8-23,54,Béjaïa,Akbou,Tamokra
1056060137,Annaba,franchised,2008-9-25,108,Béjaïa,Seddouk,Amalou
1821566362,Aromas,owned,2019-5-12,188,Béjaïa,Seddouk,Bouhamza
1742395988,Saharan,franchised,2014-8-16,164,Béjaïa,Seddouk,M'cisna
1887799597,Savor,owned,2001-7-28,56,Béjaïa,Seddouk,Seddouk
1653828378,Liberty,franchised,2019-8-15,137,Béjaïa,Tazmalt,Beni-Mallikeche
2105032639,Bistro,franchised,2008-4-23,74,Béjaïa,Tazmalt,Boudjellil
1331332175,Parisian,franchised,2014-7-4,192,Béjaïa,Tazmalt,Tazmalt
1614942624,Palate,franchised,2015-4-21,99,Béjaïa,Chemini,Akfadou
1724788144,Brooklyn,franchised,2010-3-13,206,Béjaïa,Chemini,Chemini
1705527047,Brasserie,franchised,2013-10-9,190,Béjaïa,Chemini,Souk Oufella
1516374548,L'Aventure,franchised,2016-5-20,210,Béjaïa,Chemini,Tibane
1065616597,Grille,owned,2001-9-10,38,Béjaïa,Ifri Ouzellaguene,Ouzellaguen
1866713588,Urban,owned,2009-10-24,121,Béjaïa,Amizour,Amizour
1497050649,Eats,franchised,2008-10-1,23,Biskra,Zeribet El Oued,El Feidh
1074210167,Collective,owned,2011-4-12,61,Biskra,Tolga,Lichana
1567785636,Avenue,franchised,2018-3-3,59,Biskra,Tolga,Bouchakroun
1467358425,Culinaire,owned,2016-3-24,219,Biskra,Ourlal,Mekhadma
1922429522,Blue,owned,2008-2-23,84,Biskra,Djemorah,Djemorah
1176156920,Ridge,franchised,2012-12-28,168,Biskra,Djemorah,Branis
1527937942,Bites,owned,2005-5-19,218,Biskra,El Outaya,El Outaya
1591796174,La,franchised,2018-3-22,120,Biskra,El Kantara,El Kantara
1271473209,Maison,franchised,2001-11-20,41,Biskra,Zeribet El Oued,Khenguet Sidi Nadji
1838124368,Fusion,owned,2000-1-22,118,Biskra,El Kantara,Ain Zaatout
1288159190,Coastal,franchised,2004-5-18,153,Biskra,Zeribet El Oued,Zeribet El Oued
1896336385,Cuisines,owned,2007-1-12,136,Biskra,Zeribet El Oued,Meziraa
1323376143,Co.,owned,2000-3-4,208,Biskra,Biskra,Biskra
1593925665,Seine,owned,2006-7-16,181,Biskra,Biskra,El Hadjab
1222770861,River,owned,2009-9-15,79,Biskra,Ourlal,M'lili
1758292486,Grill,franchised,2009-10-24,211,Biskra,Foughala,Foughala
1139520234,Big,franchised,2019-9-6,149,Biskra,Foughala,El Ghrous
1390576453,Apple,owned,2014-2-13,35,Biskra,Tolga,Bordj Ben Azzouz
1666868975,Bistro,franchised,2007-8-12,67,Biskra,Ourlal,Ourlal
1961086596,Provence,franchised,2017-4-4,202,Biskra,Ourlal,Oumache
2132972441,Pantry,owned,2001-1-21,137,Biskra,Sidi Okba,Ain Naga
1554668573,Pacific,franchised,2004-5-19,128,Biskra,Sidi Okba,Chetma
1467431326,Plate,franchised,2016-6-12,115,Biskra,Sidi Okba,El Haouch
2090521433,Hub,owned,2019-12-27,72,Biskra,Sidi Okba,Sidi Okba
1886000748,Manhattan,owned,2009-12-1,87,Biskra,Mechouneche,M'chouneche
1082373950,Mingle,franchised,2014-8-10,126,Biskra,Ourlal,Lioua
1667825929,Rive,franchised,2009-3-7,71,Biskra,Tolga,Tolga
1444044147,Gauche,franchised,2011-11-5,177,Béchar,Bechar,Bechar
1598748498,Repas,owned,2015-9-12,219,Béchar,Lahmar,Boukais
1733442527,Heartland,franchised,2014-10-18,141,Béchar,Lahmar,Lahmar
