rating1,rating2,rating3,rating4,rating5,month,year
0,1,3,0,3,9,2017
0,5,4,1,0,10,2017
5,5,4,1,2,11,2017
2,0,0,3,3,12,2017
2,0,2,4,1,1,2018
3,5,1,5,4,2,2018
2,1,1,1,4,3,2018
0,1,1,4,1,4,2018
3,5,3,3,2,5,2018
1,0,2,0,5,6,2018
5,4,1,2,5,7,2018
4,2,1,3,2,8,2018
0,0,1,3,5,9,2018
4,2,2,4,3,10,2018
0,1,5,5,4,11,2018
5,3,5,0,1,12,2018
4,5,2,5,4,1,2019
2,2,2,2,5,2,2019
5,3,0,5,5,3,2019
5,2,0,1,2,4,2019
1,2,1,1,0,5,2019
3,0,0,0,1,6,2019
1,1,1,4,2,7,2019
5,3,1,3,2,8,2019
2,4,0,1,0,9,2019
0,3,0,3,0,10,2019
2,5,2,1,3,11,2019
2,0,4,1,1,12,2019
5,4,2,3,1,1,2020
4,2,5,2,1,2,2020
0,3,1,0,2,3,2020
2,5,3,0,3,4,2020
3,3,1,1,0,5,2020
0,5,3,3,0,6,2020
2,2,3,0,5,7,2020
3,5,3,2,0,8,2020
4,4,4,0,3,9,2020
4,3,5,1,3,10,2020
3,2,4,1,2,11,2020
1,0,4,0,4,12,2020
4,2,3,3,0,1,2021
5,0,0,0,5,2,2021
5,1,0,3,0,3,2021
0,2,0,0,3,4,2021
0,1,1,3,1,5,2021
4,1,2,2,2,6,2021
4,0,4,2,4,7,2021
3,3,3,1,5,8,2021
0,2,5,3,1,9,2021
2,4,0,3,2,10,2021
4,5,2,1,0,11,2021
5,5,5,3,5,12,2021
3,4,5,0,2,1,2022
4,3,0,3,0,2,2022
0,3,2,4,4,3,2022
4,2,4,2,4,4,2022
5,0,3,0,5,5,2022
1,0,4,4,4,6,2022
1,3,4,0,3,7,2022
5,3,2,1,3,8,2022
0,0,3,3,4,9,2022
4,3,1,5,0,10,2022
5,3,1,4,3,11,2022
4,3,3,5,1,12,2022
2,0,3,3,5,1,2023
1,2,4,5,2,2,2023
3,1,1,1,0,3,2023
4,5,4,2,3,4,2023
4,0,1,1,4,5,2023
4,1,2,4,3,6,2023
0,3,2,3,1,7,2023
0,5,4,5,0,8,2023
4,2,4,0,4,9,2023
1,5,5,0,0,10,2023
3,5,2,3,4,11,2023
3,4,2,1,1,12,2023
