year,month,day,sales1,sales2,sales3,sales4,sales5,publicity_costs,costs
2017,7,12,3520,58307,67318,26472,3797,21219,4665
2017,7,13,58724,88163,50265,97691,24599,49303,72304
2017,7,14,72513,46483,34761,39346,60913,18040,66799
2017,7,15,38575,30602,92838,81018,15393,19303,27009
2017,7,16,81245,14960,74608,84764,73266,41925,41236
2017,7,17,93414,29495,92252,52137,17657,42516,86179
2017,7,18,58607,91818,48482,47471,38300,33242,66817
2017,7,19,15565,1282,39967,54139,31883,32805,1508
2017,7,20,63627,68459,48517,44871,83418,23124,85987
2017,7,21,73035,81400,73574,66449,27246,15825,34937
2017,7,22,44903,8340,1116,19861,16509,49597,57332
2017,7,23,71161,49191,54148,3077,50472,44114,87215
2017,7,24,98706,43270,8722,62332,11728,23590,43555
2017,7,25,11497,13065,85893,84532,10816,9466,70980
2017,7,26,38062,25290,2268,99316,49981,3383,39176
2017,7,27,82841,69332,2859,54001,18522,23358,87077
2017,7,28,85345,83824,30643,84050,27093,5717,62733
2017,7,29,55173,29306,86287,66669,42371,38531,81200
2017,7,30,53186,47996,18531,7599,89637,20799,76914
2017,7,31,39617,40533,42442,22458,26216,45300,72810
2017,8,1,44737,18658,66239,30081,2481,46881,30482
2017,8,2,45925,52597,93215,1097,98255,45853,64118
2017,8,3,56977,84384,35317,26514,32379,20200,74113
2017,8,4,22016,90998,41026,77984,47882,33467,6793
2017,8,5,74098,45119,9603,35186,80128,42193,1619
2017,8,6,82608,89073,12100,44884,58022,5314,52333
2017,8,7,72628,1167,46450,29604,1902,31766,26117
2017,8,8,50632,51965,90229,88999,59314,47607,86983
2017,8,9,23548,47425,127,97645,92543,26081,12830
2017,8,10,72670,18273,14448,71629,23698,26548,46513
2017,8,11,98071,48213,78845,70698,65731,25294,50301
2017,8,12,67632,23411,72769,18264,91728,29350,57262
2017,8,13,67393,43308,90596,90940,90732,40723,74936
2017,8,14,99627,16803,37766,72296,35076,18565,277
2017,8,15,58773,11464,93141,56843,59677,38337,13892
2017,8,16,25407,29982,60544,9391,69744,33312,34006
2017,8,17,61471,29013,51267,45216,72320,41863,22507
2017,8,18,63052,48937,57443,62678,65739,11560,61325
2017,8,19,814,80124,27953,75938,7940,21093,19132
2017,8,20,67616,25781,93023,9374,55762,3566,65116
2017,8,21,41858,3230,79121,19680,32242,46740,84895
2017,8,22,4562,4954,17402,83965,53890,41196,32994
2017,8,23,19628,2755,30670,36794,99230,8623,59083
2017,8,24,7169,96067,78215,91136,21848,37589,66862
2017,8,25,93961,57507,51977,35818,77088,47450,65498
2017,8,26,9329,94189,36744,30242,99142,20497,74206
2017,8,27,53031,61692,93551,89010,80798,24221,25803
2017,8,28,96380,82843,71238,3548,95261,15804,11036
2017,8,29,17108,53392,27897,27421,27250,46225,19590
2017,8,30,4337,43674,35087,30018,54214,38183,80259
2017,8,31,53355,58679,90817,6385,36723,34367,21747
2017,9,1,17520,24939,37549,13899,7781,25138,83799
2017,9,2,19394,90941,61186,36501,60685,5434,60273
2017,9,3,87934,1658,59863,8623,61684,11301,88640
2017,9,4,15897,99483,15250,85604,74514,22418,28340
2017,9,5,11236,23137,20086,45107,48075,23987,69006
2017,9,6,72208,99124,9156,91601,90065,36693,24453
2017,9,7,50749,92126,24726,55034,10135,940,23656
2017,9,8,71818,28592,2295,4067,28075,33897,6022
2017,9,9,2588,56314,14361,30175,79450,34447,55281
2017,9,10,43877,8433,50638,16084,7556,26145,44036
2017,9,11,97620,62837,68488,64720,54962,9565,49754
2017,9,12,65097,10504,83409,53266,39096,2056,73684
2017,9,13,83522,35952,79705,2461,8617,44066,2635
2017,9,14,4419,44864,24267,48295,53296,24905,74378
2017,9,15,77203,51049,88413,91175,13886,23252,5894
2017,9,16,68847,82817,91999,50295,9672,25408,89913
2017,9,17,65119,93815,93596,64992,46118,23301,73804
2017,9,18,54734,83718,16438,59152,44933,40705,37446
2017,9,19,98228,31961,88175,91782,83009,42939,62956
2017,9,20,13246,82543,55202,98445,65359,13552,88739
2017,9,21,91382,38959,68651,72853,49125,28599,37844
2017,9,22,95242,68251,21648,49976,68320,4437,15479
2017,9,23,13252,11493,49277,11479,43453,3803,9612
2017,9,24,42814,46742,18920,56059,29284,40473,10855
2017,9,25,10994,54024,19594,18727,9335,4596,11579
2017,9,26,58459,83194,45775,53701,51444,33774,30028
2017,9,27,19763,54562,61858,49366,66055,11134,50844
2017,9,28,25859,64937,96808,85024,28030,15727,57435
2017,9,29,73665,22551,28289,84658,76574,14234,59736
2017,9,30,85908,68830,11315,44367,68375,23441,34419
2017,10,1,36171,57214,50798,72285,11775,12655,11651
2017,10,2,94181,40141,98846,36392,5077,45653,81415
2017,10,3,33106,27731,95201,6770,50281,23490,27779
2017,10,4,26855,87723,27514,29114,72904,5180,79832
2017,10,5,41279,28620,4250,77449,2185,21399,16085
2017,10,6,30312,84054,87735,24492,24194,36581,30883
2017,10,7,45622,98585,98650,95079,26316,43850,18200
2017,10,8,92948,33691,25978,36154,21414,19843,15268
2017,10,9,94317,25023,55099,51947,69994,25701,55747
2017,10,10,72179,47099,11832,18842,47504,49566,13333
2017,10,11,88049,2498,20568,33670,1083,35569,68748
2017,10,12,43750,29418,46947,36697,79461,39276,52851
2017,10,13,874,75471,38118,11542,16845,43216,19841
2017,10,14,86838,85268,25587,75368,32367,37418,14209
2017,10,15,96222,36984,53894,84271,55833,40813,67940
2017,10,16,56915,26381,63040,664,72150,26338,17361
2017,10,17,51610,31966,26563,68835,7436,14680,56729
2017,10,18,24280,74247,76569,27469,59515,2155,59189
2017,10,19,8233,55925,13397,4454,9260,33642,85076
2017,10,20,65092,74454,23016,22007,17186,2407,9022
2017,10,21,5688,45096,92734,57297,77061,19296,82484
2017,10,22,848,327,39212,25127,90926,32132,38948
2017,10,23,66792,50638,88136,75024,6562,17884,55829
2017,10,24,32173,1526,905,97265,92331,40272,45623
2017,10,25,9517,42678,74644,31556,4125,33730,68852
2017,10,26,81186,3025,47687,98385,3352,3250,79864
2017,10,27,94277,51733,8811,61068,2371,46946,82443
2017,10,28,25284,14829,48271,57457,32706,15527,1073
2017,10,29,41389,5798,23047,67257,64827,14042,48812
2017,10,30,85304,97771,4015,66489,796,1702,31225
2017,10,31,20499,54951,21088,14775,6684,29898,32194
2017,11,1,25406,43195,44636,67041,58024,9258,24497
2017,11,2,7081,91137,11921,48469,13286,34967,75725
2017,11,3,78113,49009,14536,79768,46779,18551,52608
2017,11,4,63926,86604,43832,84424,57906,14920,35550
2017,11,5,80941,94817,7743,6346,38012,18730,13387
2017,11,6,12387,94340,14235,35819,1828,42508,4288
2017,11,7,15113,93826,16364,9577,42834,47252,19344
2017,11,8,5965,65802,51951,86242,68757,45783,80666
