year,month,day,sales1,sales2,sales3,sales4,sales5,rent, employeePayment, electricity, gaz, vegetables, meats, otherIngredients, publicity
2003,2,7,73585,75089,77454,46717,31222,2050.61,2224,3037,1228,7044,53086,22620,25534
2003,2,8,29477,15899,48122,45941,3012,2050.61,2716,2110,2406,5328,47387,45043,4211
2003,2,9,31988,36486,43805,91199,65685,2050.61,4967,4268,4507,9714,85984,16710,29420
2003,2,10,67955,84562,76470,38564,41606,2050.61,1183,1081,1846,5657,17022,14817,29556
2003,2,11,96220,86091,46928,94978,31419,2050.61,950,3405,2151,7660,70955,12835,10667
2003,2,12,63245,35924,68456,34104,78345,2050.61,2536,2650,1442,9005,19558,13310,20793
2003,2,13,74914,78749,84393,36720,20758,2050.61,1536,1976,3856,9640,11954,13078,17767
2003,2,14,91835,68327,31384,55338,68504,2050.61,3173,3099,3261,5970,82203,32957,2339
2003,2,15,23773,51092,95608,79126,96449,2050.61,2436,1361,3273,6370,16170,45382,13173
2003,2,16,27299,25969,78712,31155,7137,2050.61,4132,3970,1402,8390,54307,43847,7018
2003,2,17,32854,38833,91947,87468,91814,2050.61,1776,1937,1592,8736,11063,38041,40502
2003,2,18,78261,19852,25755,86534,29384,2050.61,1916,1681,2507,5086,87835,49643,1574
2003,2,19,17645,86968,14966,9340,33835,2050.61,3186,1687,1628,5970,70506,48974,35626
2003,2,20,68339,7284,80913,26284,72372,2050.61,676,1272,3178,6430,37165,15132,8328
2003,2,21,56618,85434,14243,49126,12413,2050.61,510,1408,1748,6438,55747,11174,18430
2003,2,22,82064,25287,38622,39225,3124,2050.61,3199,1461,4115,9111,14096,21486,25481
2003,2,23,93791,94773,72118,21969,1204,2050.61,881,4172,1067,6475,39649,39831,25635
2003,2,24,61257,21123,2592,83005,17561,2050.61,4938,1960,4977,9911,55199,19452,8340
2003,2,25,51744,59751,90914,859,45214,2050.61,2344,4003,4782,8934,77323,17337,5011
2003,2,26,36449,89557,7863,47517,16032,2050.61,3699,2287,4985,6291,76643,18897,13864
2003,2,27,80983,47934,34873,97312,74198,2050.61,1763,1890,1174,7676,26799,11388,6425
2003,2,28,29039,65496,66744,45174,76310,2050.61,3862,2758,3623,6724,76626,16007,44068
