rating1,rating2,rating3,rating4,rating5,month,year
3,5,1,5,4,9,2018
3,2,3,1,4,10,2018
3,2,1,3,4,11,2018
4,4,1,2,0,12,2018
5,1,5,5,2,1,2019
3,5,3,2,3,2,2019
1,4,4,0,0,3,2019
4,3,2,3,4,4,2019
4,5,5,0,0,5,2019
1,4,0,4,1,6,2019
3,0,5,1,4,7,2019
0,1,3,1,0,8,2019
1,5,5,2,1,9,2019
4,3,4,0,3,10,2019
3,0,0,5,2,11,2019
3,4,0,2,3,12,2019
0,2,3,3,3,1,2020
0,0,3,2,4,2,2020
0,5,0,5,3,3,2020
0,0,3,4,5,4,2020
1,5,5,3,1,5,2020
2,1,1,3,5,6,2020
3,1,2,4,3,7,2020
5,2,3,1,0,8,2020
2,2,0,3,5,9,2020
5,4,0,3,2,10,2020
5,5,0,2,2,11,2020
5,0,4,5,2,12,2020
5,4,0,2,4,1,2021
0,4,5,2,2,2,2021
5,3,3,2,0,3,2021
1,0,4,1,5,4,2021
4,3,1,0,1,5,2021
0,5,3,4,2,6,2021
3,1,2,1,3,7,2021
1,4,3,5,2,8,2021
1,3,5,2,5,9,2021
2,3,3,1,3,10,2021
3,3,3,1,2,11,2021
4,4,5,0,4,12,2021
3,4,4,1,0,1,2022
5,1,5,5,5,2,2022
1,2,3,5,0,3,2022
3,0,2,4,4,4,2022
4,4,2,5,5,5,2022
2,3,3,5,4,6,2022
2,0,5,1,2,7,2022
4,3,0,1,0,8,2022
5,4,5,3,1,9,2022
0,5,2,0,3,10,2022
0,3,0,1,0,11,2022
2,0,0,5,2,12,2022
0,1,3,2,5,1,2023
5,4,0,3,2,2,2023
2,1,1,5,4,3,2023
3,1,4,1,5,4,2023
2,1,0,0,5,5,2023
1,2,0,2,2,6,2023
1,0,2,2,3,7,2023
0,0,0,1,1,8,2023
3,0,3,5,0,9,2023
2,4,1,4,2,10,2023
4,4,0,0,1,11,2023
4,0,0,4,0,12,2023
