district,city,wilaya
Timekten,Aoulef,Adrar
Bouda,Adrar,Adrar
Ouled Ahmed Timmi,Adrar,Adrar
Adrar,Adrar,Adrar
Fenoughil,Fenoughil,Adrar
In Zghmir,Zaouiat Kounta,Adrar
Reggane,Reggane,Adrar
Sali,Reggane,Adrar
Sebaa,Tsabit,Adrar
Tsabit,Tsabit,Adrar
Tamest,Fenoughil,Adrar
Tamantit,Fenoughil,Adrar
Tit,Aoulef,Adrar
Zaouiet Kounta,Zaouiat Kounta,Adrar
Akabli,Aoulef,Adrar
Aoulef,Aoulef,Adrar
Talassa,Abou El Hassane,Chlef
Zeboudja,Zeboudja,Chlef
El Hadjadj,Ouled Ben Abdelkader,Chlef
Ouled Ben Abdelkader,Ouled Ben Abdelkader,Chlef
Ain Merane,Ain Merane,Chlef
Breira,Beni Haoua,Chlef
Ouled Abbes,Oued Fodda,Chlef
Oued Fodda,Oued Fodda,Chlef
Beni Rached,Oued Fodda,Chlef
Herenfa,Ain Merane,Chlef
Tadjena,Abou El Hassane,Chlef
El Marsa,El Marsa,Chlef
Chlef,Chlef,Chlef
Oum Drou,Chlef,Chlef
Sendjas,Chlef,Chlef
Sidi Abderrahmane,Tenes,Chlef
Sidi Akkacha,Tenes,Chlef
Tenes,Tenes,Chlef
Beni  Bouattab,El Karimia,Chlef
El Karimia,El Karimia,Chlef
Harchoun,El Karimia,Chlef
Bouzeghaia,Zeboudja,Chlef
Taougrit,Taougrit,Chlef
Beni Haoua,Beni Haoua,Chlef
Abou El Hassane,Abou El Hassane,Chlef
Oued Goussine,Beni Haoua,Chlef
Chettia,Ouled Fares,Chlef
Moussadek,El Marsa,Chlef
Ouled Fares,Ouled Fares,Chlef
Boukadir,Boukadir,Chlef
Oued Sly,Boukadir,Chlef
Sobha,Boukadir,Chlef
Benairia,Zeboudja,Chlef
Labiod Medjadja,Ouled Fares,Chlef
Dahra,Taougrit,Chlef
El Beidha,Gueltat Sidi Saad,Laghouat
Gueltat Sidi Saad,Gueltat Sidi Saad,Laghouat
Brida,Brida,Laghouat
Ain Sidi Ali,Gueltat Sidi Saad,Laghouat
Tadjemout,Ain Madhi,Laghouat
Hadj Mechri,Brida,Laghouat
Taouiala,Brida,Laghouat
El Ghicha,El Ghicha,Laghouat
Tadjrouna,Ain Madhi,Laghouat
Sebgag,Aflou,Laghouat
Sidi Bouzid,Aflou,Laghouat
Oued Morra,Oued Morra,Laghouat
Laghouat,Laghouat,Laghouat
Oued M'zi,Oued Morra,Laghouat
Ksar El Hirane,Ksar El Hirane,Laghouat
El Assafia,Sidi Makhlouf,Laghouat
Sidi Makhlouf,Sidi Makhlouf,Laghouat
Hassi Delaa,Hassi R'mel,Laghouat
Hassi R'mel,Hassi R'mel,Laghouat
Ain Madhi,Ain Madhi,Laghouat
El Haouaita,Ain Madhi,Laghouat
Kheneg,Ain Madhi,Laghouat
Benacer Benchohra,Ksar El Hirane,Laghouat
Aflou,Aflou,Laghouat
Fkirina,F'kirina,Oum El Bouaghi
El Fedjoudj Boughrara Sa,Ain Fekroun,Oum El Bouaghi
Ain Fekroun,Ain Fekroun,Oum El Bouaghi
Rahia,Meskiana,Oum El Bouaghi
Meskiana,Meskiana,Oum El Bouaghi
El Belala,Meskiana,Oum El Bouaghi
Behir Chergui,Meskiana,Oum El Bouaghi
Ksar Sbahi,Ksar Sbahi,Oum El Bouaghi
Souk Naamane,Souk Naamane,Oum El Bouaghi
Ouled Zouai,Souk Naamane,Oum El Bouaghi
Oum El Bouaghi,Oum El Bouaghi,Oum El Bouaghi
Ain Babouche,Ain Babouche,Oum El Bouaghi
Ain Zitoun,Oum El Bouaghi,Oum El Bouaghi
Bir Chouhada,Souk Naamane,Oum El Bouaghi
Ain Beida,Ain Beida,Oum El Bouaghi
Berriche,Ain Beida,Oum El Bouaghi
Zorg,Ain Beida,Oum El Bouaghi
Ain M'lila,Ain M'lila,Oum El Bouaghi
Ouled Gacem,Ain M'lila,Oum El Bouaghi
Ouled Hamla,Ain M'lila,Oum El Bouaghi
El Amiria,Sigus,Oum El Bouaghi
Sigus,Sigus,Oum El Bouaghi
Oued Nini,F'kirina,Oum El Bouaghi
Ain Diss,Ain Babouche,Oum El Bouaghi
Dhalaa,Dhalaa,Oum El Bouaghi
El Djazia,Dhalaa,Oum El Bouaghi
Ain Kercha,Ain Kercha,Oum El Bouaghi
El Harmilia,Ain Kercha,Oum El Bouaghi
Hanchir Toumghani,Ain Kercha,Oum El Bouaghi
Maafa,Ain Touta,Batna
Gosbat,Ras El Aioun,Batna
Timgad,Timgad,Batna
Taxlent,Ouled Si Slimane,Batna
Ouled Si Slimane,Ouled Si Slimane,Batna
Lemcene,Ouled Si Slimane,Batna
Talkhamt,Ras El Aioun,Batna
Ras El Aioun,Ras El Aioun,Batna
Rahbat,Ras El Aioun,Batna
Ouled Sellem,Ras El Aioun,Batna
Guigba,Ras El Aioun,Batna
Teniet El Abed,Theniet El Abed,Batna
Batna,Batna,Batna
Fesdis,Batna,Batna
Oued Chaaba,Batna,Batna
Hidoussa,Merouana,Batna
Ksar Bellezma,Merouana,Batna
Merouana,Merouana,Batna
Oued El Ma,Merouana,Batna
Lazrou,Seriana,Batna
Seriana,Seriana,Batna
Zanet El Beida,Seriana,Batna
Menaa,Menaa,Batna
Tigharghar,Menaa,Batna
Ain Yagout,El Madher,Batna
Boumia,El Madher,Batna
Djerma,El Madher,Batna
El Madher,El Madher,Batna
Ouyoun El Assafir,Tazoult,Batna
Tazoult,Tazoult,Batna
Boumagueur,N'gaous,Batna
N Gaous,N'gaous,Batna
Sefiane,N'gaous,Batna
Arris,Arris,Batna
Tighanimine,Arris,Batna
Ain Djasser,Ain Djasser,Batna
El Hassi,Ain Djasser,Batna
Seggana,Seggana,Batna
Tilatou,Seggana,Batna
Foum Toub,Ichemoul,Batna
Ichemoul,Ichemoul,Batna
Inoughissen,Ichemoul,Batna
Bouzina,Bouzina,Batna
Larbaa,Bouzina,Batna
Boulhilat,Chemora,Batna
Chemora,Chemora,Batna
Barika,Barika,Batna
Bitam,Barika,Batna
M Doukal,Barika,Batna
