year,month,day,sales1,sales2,sales3,sales4,sales5,publicity_costs,costs
2002,4,6,18072,33565,14203,39056,23047,14691,56619
2002,4,7,80187,1500,90989,52305,6628,8602,85327
2002,4,8,20396,48409,96905,56933,12121,35223,75043
2002,4,9,61425,2293,65919,32858,96904,33489,68010
2002,4,10,13138,43376,96119,31210,93292,10321,36617
2002,4,11,32690,75011,23236,12876,76510,30576,5180
2002,4,12,99489,5529,16858,19885,53938,13762,43169
2002,4,13,66058,15337,68211,27483,33981,481,26692
2002,4,14,30884,33969,44701,44022,93696,40819,51583
2002,4,15,86987,51140,94551,19676,42502,34138,72552
2002,4,16,35364,64713,14083,34852,70242,30941,1088
2002,4,17,40531,61054,80608,22940,92742,15170,70422
2002,4,18,26723,15650,27113,57606,49619,38166,7979
2002,4,19,43314,45336,25913,46653,12827,20464,76328
2002,4,20,55329,54601,15231,90692,35666,29314,81895
2002,4,21,22259,76606,29335,62789,37659,9942,85728
2002,4,22,46753,75112,52502,73475,7113,45966,1080
2002,4,23,56731,483,65411,16397,45819,41323,43049
2002,4,24,58645,28138,29376,13973,82739,10959,41016
2002,4,25,34756,6624,79263,57014,83229,24949,76154
2002,4,26,37239,34890,38233,83991,26353,7086,47465
2002,4,27,33466,19404,4897,6548,19886,36659,62944
2002,4,28,65704,77981,2344,24349,6119,48072,44673
2002,4,29,5209,9030,92041,56316,15653,37655,79681
2002,4,30,15233,12603,82186,68823,63844,20418,9166
2002,5,1,90197,43856,42982,40014,63259,47878,6561
2002,5,2,99496,50888,85857,65200,28869,4552,65900
2002,5,3,51339,52623,76924,72899,61652,35316,29214
2002,5,4,93656,72970,58894,25240,85572,41079,54063
2002,5,5,65768,77848,63228,72316,21703,22561,42329
2002,5,6,1313,86791,75241,809,37678,27449,22360
2002,5,7,82898,82001,4611,34236,34623,31534,57134
2002,5,8,12627,66850,52699,22634,56171,11592,7874
2002,5,9,58095,69022,58288,23862,46870,37867,86177
2002,5,10,84924,60427,24857,2589,47217,16449,89749
2002,5,11,84895,93898,2108,67792,75898,6718,78380
2002,5,12,26872,4603,41865,55850,87804,44564,58484
2002,5,13,43975,22507,42709,18421,91529,996,2282
2002,5,14,54750,55214,54810,56025,31992,29666,78613
2002,5,15,79209,96114,78361,80455,6363,46820,24598
2002,5,16,98612,19889,82977,25484,40844,41194,11333
2002,5,17,28647,35757,76168,88973,74615,18876,27393
2002,5,18,66143,36223,66026,37244,91436,20835,83269
2002,5,19,39780,16852,51881,18988,29318,46594,5794
2002,5,20,35680,59765,80391,34292,79654,29720,36127
2002,5,21,20497,20913,73811,65495,73021,49979,4468
2002,5,22,47635,85206,61860,30130,21429,27886,87373
2002,5,23,29216,65072,76993,68995,81924,45226,64334
2002,5,24,11241,8171,20127,63272,67935,16870,7563
2002,5,25,47588,96589,90041,84436,33853,13852,89931
2002,5,26,6873,13830,4398,70859,99035,32609,10988
2002,5,27,36815,26846,84713,66031,8270,28057,11377
2002,5,28,90193,23282,55711,17785,31452,42189,1056
2002,5,29,99387,9058,94971,63326,5646,35011,67762
2002,5,30,39498,65214,97692,62722,79043,18441,3581
2002,5,31,94430,17401,50920,31244,60599,35632,3626
2002,6,1,68868,30041,81355,59060,53322,3417,73196
2002,6,2,1126,45605,74251,512,71015,35573,40189
2002,6,3,76660,86936,27950,32510,52149,41993,11583
2002,6,4,47544,76785,45163,41973,10538,46083,49568
2002,6,5,71136,48066,19546,40003,78106,900,15414
2002,6,6,47780,70668,8609,48905,16272,49211,55768
2002,6,7,87286,84784,45956,80298,88071,40258,49159
2002,6,8,40219,48602,57093,87762,41739,2256,86086
2002,6,9,52276,14690,52006,23411,79107,21551,79765
2002,6,10,73565,88802,95178,21344,75821,20138,248
2002,6,11,92092,19348,52367,95730,20483,14674,42379
2002,6,12,8553,4931,37889,65124,69885,44981,62885
2002,6,13,11623,13588,15323,63898,44629,17328,17308
2002,6,14,23736,55230,67072,97300,60383,28601,74995
2002,6,15,52555,98738,5242,60998,18085,23960,86727
2002,6,16,54920,88633,65457,63472,9916,19697,84947
2002,6,17,79800,14678,14184,91422,44617,29506,45319
2002,6,18,89246,13185,58978,12981,84766,42401,76632
2002,6,19,61500,21001,61626,14054,19738,33219,55051
2002,6,20,54174,57178,48130,25445,45810,29938,55269
2002,6,21,55725,49635,50215,35524,64312,14398,13297
2002,6,22,8928,93903,98615,98173,23439,7592,67505
2002,6,23,24556,16344,54136,86055,37344,15761,46460
2002,6,24,73433,98979,91511,43959,56156,5992,19403
2002,6,25,18318,85929,74671,90394,35563,24886,72270
2002,6,26,16226,5635,85566,41506,15890,533,66030
2002,6,27,39328,74476,83535,63884,90820,37670,86290
2002,6,28,28163,69783,82750,17948,68761,40612,11906
2002,6,29,41269,46603,31308,75938,32531,22331,36331
2002,6,30,84446,63568,8600,671,69202,10518,28528
2002,7,1,85091,11050,14558,24419,85525,48092,34654
2002,7,2,76344,52113,70943,20859,21895,20044,88806
2002,7,3,7008,60655,711,64628,23609,48370,30565
2002,7,4,72492,70700,6895,56937,34267,31847,43959
2002,7,5,19821,58716,32487,4911,69765,47044,5681
2002,7,6,71641,61487,50334,64337,29951,37629,75195
2002,7,7,68198,7672,40352,91557,84679,41062,6184
2002,7,8,8287,5783,96748,80778,92835,19994,74066
2002,7,9,27101,68192,28025,46921,43259,26863,88184
2002,7,10,29375,40258,13864,1016,1744,30550,35352
2002,7,11,48046,18178,66898,16243,42201,7249,27799
2002,7,12,43231,64662,63982,51518,70444,27081,58647
2002,7,13,63278,13427,2713,6731,81618,30737,40003
2002,7,14,24877,23951,38186,54251,64208,2050,51618
2002,7,15,82303,32599,53321,30348,67128,20218,86591
2002,7,16,25680,43818,70741,68911,8479,1075,76780
2002,7,17,78923,28155,85426,58552,41581,38138,55282
2002,7,18,39551,35226,51637,64427,59176,39822,65029
2002,7,19,39735,58223,6647,22037,7173,26319,52385
2002,7,20,90652,96537,15327,16332,40354,36067,21594
2002,7,21,48833,37141,38373,44107,81648,23798,29010
2002,7,22,23228,28288,644,79130,79865,2280,13556
2002,7,23,55393,58453,94937,95127,33028,17935,47164
2002,7,24,56552,94253,69548,47204,7141,34874,59887
2002,7,25,47495,87292,81480,12679,24433,19852,23137
2002,7,26,6080,60001,92146,45659,88288,42789,84789
2002,7,27,68153,61420,84696,39897,19873,45984,5023
2002,7,28,52900,13918,52186,25803,8171,21733,63006
2002,7,29,15311,22958,69244,79157,10250,723,78187
2002,7,30,51034,86926,81323,73465,46927,39821,15475
2002,7,31,51566,98961,60263,36070,60381,11311,75966
2002,8,1,96605,57294,10989,65856,87564,29526,11658
2002,8,2,12086,1259,64664,43748,40568,33907,79257
2002,8,3,67169,982,47443,18202,87907,28766,61666
2002,8,4,51185,34938,43493,19103,33898,3755,15172
2002,8,5,94278,81417,47490,90882,55063,8478,56737
2002,8,6,42626,54355,48395,71063,55613,29410,64810
2002,8,7,12533,79668,54066,79701,97001,1509,64255
2002,8,8,1260,46626,5920,68796,81563,49412,87898
2002,8,9,31812,69519,59422,42442,67287,6911,83323
2002,8,10,22349,81740,6412,81326,36094,21158,72388
2002,8,11,8059,16919,67198,20591,96586,37615,36643
2002,8,12,9939,39123,30897,11198,2100,3169,9993
2002,8,13,14,18932,67891,31826,88450,27312,84267
2002,8,14,72089,50574,23941,94437,32313,30352,65763
2002,8,15,68406,17861,44502,92816,34779,11699,43406
2002,8,16,31365,65666,46401,57655,4788,27297,38852
2002,8,17,23240,30465,48844,23253,49397,33086,21430
2002,8,18,54198,76749,62048,26286,27322,35989,17075
2002,8,19,75986,32692,29189,60744,66905,23690,73559
2002,8,20,1683,1741,83317,49399,67406,29717,27053
2002,8,21,88545,7013,75904,11784,37478,41100,11389
2002,8,22,3226,90537,39170,57423,83638,1218,53709
2002,8,23,27311,3558,20783,3297,52601,16323,74040
2002,8,24,19505,40012,33950,37540,41752,17266,76938
2002,8,25,25509,46982,10343,14054,70347,2598,82189
2002,8,26,7824,60049,93577,11049,50586,49099,74823
2002,8,27,50575,66668,84883,77885,70225,22017,81181
2002,8,28,39177,88339,61572,75034,28351,11874,8925
2002,8,29,86454,29139,15862,11963,92473,42556,22368
2002,8,30,62819,45154,84556,86994,5202,44485,84394
2002,8,31,72139,43583,99216,22713,10250,34099,20598
2002,9,1,96826,6115,98130,52354,94454,26054,53739
2002,9,2,39156,87927,72663,41961,17065,38525,3923
2002,9,3,9537,31080,12642,88707,92585,47198,55700
2002,9,4,97787,8034,90093,69925,51616,39309,52638
2002,9,5,78217,89759,9587,91394,12225,7716,99
2002,9,6,23030,83769,3838,62185,88047,26500,40498
2002,9,7,5112,81376,74420,31000,28808,37062,19707
2002,9,8,21392,611,95406,35530,8644,1851,55455
2002,9,9,76611,91159,14444,71179,97269,24030,38924
2002,9,10,9493,31745,39022,32523,31866,42859,1059
2002,9,11,19912,35711,31556,41375,17086,22328,28727
2002,9,12,45893,25741,8433,83637,42703,20190,89166
2002,9,13,67698,22040,24620,44308,29550,5415,1838
2002,9,14,43170,79444,10761,52663,27541,16134,41537
2002,9,15,59406,8993,28947,95669,44703,26855,83396
2002,9,16,78140,15534,42122,40385,41274,16906,4021
2002,9,17,83976,3447,43186,68025,25487,34158,42332
2002,9,18,71388,39572,60521,30910,19016,37633,73572
2002,9,19,62908,53766,1460,38665,79110,46758,44333
2002,9,20,40164,23612,4080,18304,39145,46201,68688
2002,9,21,96770,13106,82708,97097,16553,42245,55121
2002,9,22,58391,26402,93804,46130,82326,4324,7039
2002,9,23,1341,58308,76962,80600,12074,44773,59264
2002,9,24,91183,41531,53596,31347,81494,24028,6002
2002,9,25,36991,20228,24689,50112,49686,7396,27209
2002,9,26,82590,65992,28681,57332,92394,22485,9813
2002,9,27,91071,93160,96852,8763,51468,40165,29362
2002,9,28,79893,84938,8625,87427,42820,28572,45125
2002,9,29,40665,52599,1126,77655,72827,25814,54119
2002,9,30,38864,49561,91327,37805,15553,36359,25136
2002,10,1,24298,58843,31300,15368,68355,44503,54130
2002,10,2,36174,34668,29843,32418,35957,38467,59844
2002,10,3,78776,17038,54969,35792,69637,6094,59799
2002,10,4,58815,98260,73917,14030,47820,31595,81834
2002,10,5,79724,17953,63321,20373,93148,44620,2092
2002,10,6,77854,39123,92573,14027,73790,22415,32796
2002,10,7,26098,60881,82639,21225,94271,3959,7016
2002,10,8,63907,10053,86814,39073,24664,27082,73102
2002,10,9,88835,58676,4935,84911,92981,34607,5283
2002,10,10,86128,79226,73727,63981,34700,16299,4359
2002,10,11,24841,5066,57154,50938,65946,39792,52162
2002,10,12,76568,10103,45530,40474,20155,32343,89546
2002,10,13,61170,9425,48999,50004,84452,3933,54914
2002,10,14,77432,38539,56549,63559,34117,30275,3891
2002,10,15,68816,96573,54601,93657,1638,11754,30946
2002,10,16,83936,67898,33108,60503,78000,44989,37329
2002,10,17,14506,27331,13226,75675,53107,12225,55678
2002,10,18,53911,32509,76944,31342,87400,33492,81253
2002,10,19,37868,63766,71495,6683,60338,26096,56691
2002,10,20,78328,37849,93989,78615,22098,43448,79117
2002,10,21,97,38436,72797,14602,65766,36023,36628
2002,10,22,35225,64599,48658,5487,97107,25601,6828
2002,10,23,858,59092,64432,38725,22857,2279,51760
2002,10,24,99546,78374,78450,94225,32574,22438,12839
2002,10,25,54672,15885,28308,71120,70672,1104,42074
2002,10,26,52790,3478,8701,88014,68076,7358,69852
2002,10,27,81535,99310,63031,82392,58401,27463,57469
2002,10,28,97609,96093,99228,13507,74466,44029,74083
2002,10,29,23391,82819,96922,78062,15055,41581,65534
2002,10,30,85727,42684,67607,38516,62514,42659,42881
2002,10,31,30589,66369,52732,28475,65678,15762,87219
2002,11,1,40431,59576,64687,54391,55668,13914,44249
2002,11,2,30133,57942,8332,69876,40760,21605,44289
2002,11,3,72167,63185,29822,57893,5868,47428,6408
2002,11,4,68381,6439,39288,15322,72807,8371,53796
2002,11,5,38484,24132,87366,95266,83708,2052,89657
2002,11,6,55727,32317,33905,2212,6611,42236,32087
2002,11,7,63722,63840,36375,35888,43376,16197,63780
2002,11,8,49244,79976,6539,33976,86414,45826,75649
2002,11,9,59220,70548,25797,14056,94680,13162,49321
2002,11,10,94739,65214,58977,50465,97530,42882,12676
2002,11,11,4140,51469,24762,84214,31661,11137,80101
2002,11,12,75036,43685,13881,40631,23660,20419,60959
2002,11,13,10074,82597,56607,69293,53144,48755,63348
2002,11,14,47823,11917,92669,58913,93482,17997,79378
2002,11,15,7363,77230,62053,27855,45051,3167,22068
2002,11,16,76711,64303,32168,68098,24339,46048,58729
2002,11,17,47998,82819,16039,58071,65415,38997,3716
2002,11,18,34910,87752,43415,99085,99668,2435,57997
2002,11,19,9501,36784,83726,16863,14013,45779,74717
2002,11,20,59063,65297,56784,52125,45951,38952,10223
2002,11,21,70289,51351,45303,18286,34169,27693,12709
2002,11,22,15935,66689,52776,67197,54440,46190,26281
2002,11,23,70459,64977,24277,79959,1760,8003,26822
2002,11,24,15772,70133,57890,91187,35429,14674,59663
2002,11,25,97731,19977,96237,68019,71327,7891,86304
2002,11,26,21848,35583,95364,54134,2272,48139,51330
2002,11,27,73063,60681,87610,43522,25657,28239,49832
2002,11,28,43768,52593,53005,75891,39077,10895,17077
2002,11,29,74505,25568,26740,88587,45544,39328,76605
2002,11,30,33222,97219,59260,55069,32801,4624,89203
2002,12,1,51424,19114,30532,24487,79794,34494,44360
2002,12,2,5450,62732,24191,49217,15324,43548,85108
2002,12,3,54400,4442,8536,45256,46361,1627,13842
2002,12,4,8256,90955,6798,57829,88173,16057,72898
2002,12,5,37325,37032,38452,88749,56146,35335,83235
2002,12,6,35939,19828,97594,57741,98911,38136,3309
2002,12,7,30586,31683,48416,84985,52476,23304,86592
2002,12,8,15188,41282,96785,23443,32236,3582,41272
2002,12,9,36760,85991,10521,74085,23022,15324,2833
2002,12,10,79167,50658,92419,15106,86838,6364,49198
2002,12,11,2100,44499,12506,32686,92534,10922,57670
2002,12,12,61361,50577,80614,76549,91858,27398,19991
2002,12,13,40446,80980,97614,77205,83322,24486,57641
2002,12,14,6343,89809,30473,85510,56819,39243,56967
2002,12,15,60008,45606,6164,62107,90105,35021,24792
2002,12,16,98990,95942,12462,60350,62870,9427,66898
2002,12,17,54728,86824,53241,95173,84155,17206,18729
2002,12,18,67476,91692,56370,73819,97852,3194,85680
2002,12,19,54670,42437,8998,14677,88042,31513,56784
2002,12,20,94498,66533,87927,9839,78827,16740,80189
2002,12,21,58048,26166,23438,12775,12990,43030,84299
2002,12,22,13496,60236,29380,80972,68279,35749,21142
