year,month,day,sales1,sales2,sales3,sales4,sales5,publicity_costs,costs
2022,6,20,26021,86003,67047,38688,96635,24794,81658
2022,6,21,84771,21289,29969,79660,6794,31711,7854
2022,6,22,23535,98232,87818,17759,6796,29943,88496
2022,6,23,36397,42526,79138,75073,59624,32297,71239
2022,6,24,67700,65338,40516,93720,67692,23914,68759
2022,6,25,64326,15060,96769,65449,36348,43089,65108
2022,6,26,59493,74799,69313,83027,73030,23482,87137
2022,6,27,79825,19776,31984,16222,62301,11121,87646
2022,6,28,38276,59769,15236,5975,25107,22103,86047
2022,6,29,9150,96016,81157,73476,27427,44277,55276
2022,6,30,80126,37365,16735,39618,12163,2399,38996
2022,7,1,1544,75881,56132,97721,95656,38116,294
2022,7,2,74309,99236,37939,12584,59005,19526,34911
2022,7,3,463,41628,67309,9612,53995,14817,79439
2022,7,4,81422,59094,54714,61547,12810,21448,11165
2022,7,5,41325,73847,40160,42868,66079,12644,50588
2022,7,6,78086,17111,70881,52394,32698,25171,4978
2022,7,7,8054,94696,99888,8516,52675,33548,54480
2022,7,8,6670,48364,50270,88091,7457,21336,15989
2022,7,9,20267,9135,83505,61591,99333,40017,60810
2022,7,10,65411,52660,61398,43497,86122,48630,85890
2022,7,11,18819,90153,77219,26873,1200,27106,25388
2022,7,12,53875,60653,86219,60544,9017,36489,4986
2022,7,13,32825,57824,30974,69443,66958,30831,21033
2022,7,14,66291,70847,68195,48053,39858,45944,71549
2022,7,15,25979,94573,3791,44797,1077,31009,51669
2022,7,16,2277,74467,23409,56151,51471,25979,43046
2022,7,17,76839,62467,98031,9664,36642,45356,29106
2022,7,18,19952,76186,26491,2594,63384,44685,40646
2022,7,19,19593,40628,58547,45571,51552,12337,56720
2022,7,20,68981,43345,94740,71257,17811,34500,53759
2022,7,21,69282,60479,76804,46120,39297,41186,82135
2022,7,22,75939,52893,67593,12242,29079,44083,24835
2022,7,23,8814,5119,81832,28407,62098,40378,10329
2022,7,24,30001,2714,97048,98981,46059,8140,60237
2022,7,25,80221,42639,13995,65854,3117,7150,78326
2022,7,26,42414,98335,460,34704,51228,18052,36945
2022,7,27,96658,78486,78131,21823,99956,9962,86581
2022,7,28,62053,340,56910,92054,3053,20309,81034
2022,7,29,65463,78448,77623,62036,21087,41617,67889
2022,7,30,24203,15119,56214,82968,29805,23026,67671
2022,7,31,97384,57429,80967,94041,35915,25449,52216
2022,8,1,35870,35411,98796,14275,52102,5705,6328
2022,8,2,71506,26014,13713,36969,20813,41335,85356
2022,8,3,41899,99304,43244,66102,14422,15810,25421
2022,8,4,60578,88835,83092,57962,62615,30410,18354
2022,8,5,98529,55859,569,50751,7621,49365,81377
2022,8,6,59722,71421,4056,31227,13786,17768,44547
2022,8,7,34599,25455,99902,76497,24758,9498,88950
2022,8,8,55531,75307,40723,16108,80493,40166,30421
2022,8,9,43107,20575,58775,57988,92785,9343,45090
2022,8,10,405,75059,6466,60126,62832,26873,57705
2022,8,11,76617,60992,92251,27567,86446,8505,70416
2022,8,12,27555,68002,95717,99437,43308,36439,11897
2022,8,13,40152,76604,22317,83258,13531,31091,77597
2022,8,14,6315,56786,82686,23072,48196,5503,89549
2022,8,15,11027,32375,7253,3996,9719,15856,17914
2022,8,16,96164,24360,68329,40071,8713,30398,49507
2022,8,17,52020,16836,87755,8523,9792,10072,31780
2022,8,18,23322,7514,65729,45988,80651,48414,19059
2022,8,19,28847,70269,68608,56225,18995,42212,50220
2022,8,20,28713,24419,8134,41229,48778,42814,51299
2022,8,21,57490,73211,37157,25861,6399,24912,74383
2022,8,22,16190,51335,42515,55863,75200,8243,1850
2022,8,23,55851,73008,87261,1049,59628,22220,47273
2022,8,24,78623,64431,33845,23687,88850,8330,81267
2022,8,25,53979,67495,78917,27821,40706,16074,23681
2022,8,26,47104,57337,4416,79645,25023,13282,5507
2022,8,27,222,71524,53708,72424,60883,40968,53472
2022,8,28,20511,13187,47097,15485,93970,30941,25523
2022,8,29,82819,55622,36790,53149,23116,15706,20969
2022,8,30,80173,48131,51002,43628,5467,5417,43272
2022,8,31,46841,18698,75130,63415,6573,28838,25838
2022,9,1,67455,86157,25662,4317,99344,39110,9801
2022,9,2,93313,86402,75324,92483,42023,28465,55631
2022,9,3,81490,44170,26600,61663,92301,27601,61642
2022,9,4,14119,49369,44914,60960,68066,36395,80726
2022,9,5,90990,65232,92915,58444,51389,34928,39113
2022,9,6,67084,24037,98913,76748,10438,40588,19230
2022,9,7,68812,19052,14860,50302,79574,7811,78316
2022,9,8,71874,35411,49957,2344,84779,11222,9655
2022,9,9,69196,47617,20380,60185,29200,13295,14981
2022,9,10,96940,48222,14093,64023,88611,29357,80770
2022,9,11,99048,19945,9999,84212,55348,41211,10865
2022,9,12,51273,99021,79180,39498,50784,45488,51842
2022,9,13,35562,56710,21496,21110,20678,8228,1294
